row m/z;MCCe0449.mzML Peak area;MCCe0450.mzML Peak area;MCCe0451.mzML Peak area;MCCe0452.mzML Peak area;MCCe0453.mzML Peak area;MCCe0454.mzML Peak area;MCCe0455.mzML Peak area;MCCe0456.mzML Peak area;MCCe0457.mzML Peak area;MCCe0458.mzML Peak area;MCCe0459.mzML Peak area;MCCe0460.mzML Peak area;MCCe0461.mzML Peak area;MCCe0462.mzML Peak area;MCCe0463.mzML Peak area;MCCe0464.mzML Peak area;MCCe0465.mzML Peak area;MCCe0466.mzML Peak area;MCCe0467.mzML Peak area;MCCe0468.mzML Peak area;MCCe0469.mzML Peak area;MCCe0470.mzML Peak area;MCCe0471.mzML Peak area;MCCe0472.mzML Peak area;MCCe0473.mzML Peak area;MCCe0474.mzML Peak area;MCCe0481.mzML Peak area;MCCe0482.mzML Peak area;MCCe0483.mzML Peak area;MCCe0484.mzML Peak area;MCCe0485.mzML Peak area;MCCe0486.mzML Peak area;MCCe0487.mzML Peak area;MCCe0488.mzML Peak area;MCCe0489.mzML Peak area;MCCe0490.mzML Peak area;MCCe0491.mzML Peak area;MCCe0492.mzML Peak area;MCCe0493.mzML Peak area;MCCe0494.mzML Peak area;MCCe0495.mzML Peak area;MCCe0496.mzML Peak area;MCCe0497.mzML Peak area;MCCe0498.mzML Peak area;MCCe0499.mzML Peak area;MCCe0500.mzML Peak area;MCCe0501.mzML Peak area;MCCe0502.mzML Peak area;MCCe0503.mzML Peak area;MCCe0504.mzML Peak area
194.1149753;39.704037;31.043545;85.67799;99.49064;91.274574;152.51291;161.83536;39.604958;155.23392;88.378105;79.203354;119.98431;152.17345;104.557724;127.46528;97.402885;112.00337;99.04451;117.88758;135.04747;131.50143;112.57593;109.36497;113.20548;118.83895;125.594604;1279.517;1377.2351;1560.8606;1602.0143;1674.0989;1731.8682;1724.6759;1690.3616;1787.5814;1694.2751;1763.3484;1724.9628;1783.5558;1675.9061;1728.1764;1833.0492;1962.1249;1868.1101;1706.2324;1840.7448;1816.0735;1700.4631;1794.2388;1713.701
194.1150266;363.60583;356.9705;457.44922;381.72415;397.37653;341.0615;279.1074;333.60364;366.98273;282.01227;193.65422;138.01794;130.95282;162.88805;209.43082;203.50148;218.10352;221.01842;160.57874;175.57114;136.15862;210.26968;136.25162;253.71144;196.78586;166.84384;1098.0697;1352.2809;1376.7474;1994.356;1500.7083;2308.556;2376.4678;2149.418;1876.912;2182.7808;2415.4373;2093.3086;1490.2052;1364.7267;1893.1901;2463.8347;2337.3806;2439.2595;2722.8127;881.523;2140.9734;2379.1729;1740.0363;2931.5212
199.0574898;74.21504;107.04945;98.48215;100.60674;23.157473;24.515652;0;0;0;191.26167;44.98925;63.211994;21.715158;50.535576;87.05882;42.222744;104.21026;13.511026;36.121517;49.664288;67.92345;41.75422;56.839214;108.41416;57.010487;35.969913;104.86182;378.34622;71.9334;394.82675;2.3827157;1.7258059;0;38.58059;7.9172897;23.324963;46.639793;64.79797;133.65022;158.41452;398.11905;73.749535;9.633573;0;0;27.541744;38.66678;21.560215;28.935823;60.706238
199.6183143;0;0;271.3048;0;0;0;0;0;0;618.6481;523.5555;527.04065;512.00586;599.96375;534.1449;535.7831;486.85376;509.37775;395.0724;540.5726;578.55585;516.1292;556.13684;522.36053;482.9005;443.76315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207.1590318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.6895967;0;2.045268;55.423523;165.42216;12.621341;10.655984;351.76907;57.8857;255.97278;15.353772;74.635605;229.00034;32.29568;44.9727;0;533.9826;0;41.01591;0;0;81.68864;72.08496;177.54332
207.1593456;349.18976;318.3526;430.22855;388.94543;388.6479;346.17657;264.4863;322.70175;330.4663;55.055363;43.522804;13.094616;32.618557;18.81361;51.54613;64.4769;17.515144;53.746998;37.83151;17.276669;6.687601;89.770874;78.69837;134.13103;98.890594;84.53641;262.78445;345.80344;332.20914;349.34534;333.2586;315.60318;416.93124;239.98953;333.9238;311.82043;407.67728;329.93808;322.9526;230.38597;317.57715;330.346;334.1321;479.62985;330.29843;312.28732;261.62207;386.81125;185.43723;396.31503
207.6073265;2331.6594;2094.7854;2175.8352;2131.971;2128.679;1562.6149;1959.1248;2236.515;2054.0396;3510.6902;3226.9714;3554.5793;3398.79;3290.2478;3149.7542;3517.604;3145.4001;3277.8792;3176.4531;3056.3484;3109.2302;3189.9937;3105.0208;3158.4485;3205.6929;3203.5105;541.8834;369.7167;542.74774;665.46735;383.55865;736.3661;591.2317;574.0719;536.901;583.88617;482.53345;547.5751;534.0677;507.7661;526.5337;503.5902;353.78055;568.80676;387.30972;433.2572;587.71497;439.08618;565.0938;586.9074
208.1306898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.71438;11.538889;21.324574;54.187546;156.87987;9.056872;623.02094;19.147535;48.79735;24.975985;73.04892;130.86613;70.63793;19.519516;7.8582444;43.75275;101.22614;826.6985;878.8375;87.91512;17.40784;60.07664;58.125538;158.30116
208.1307153;12.202257;16.117819;44.52555;49.57691;47.952232;35.34204;68.58293;77.152756;44.41867;53.02034;52.437096;34.56711;70.556015;51.160156;63.967342;57.550495;78.79314;64.80478;49.024372;67.34047;49.033752;49.834404;42.454605;59.087086;49.330276;53.208122;324.20325;347.77087;340.31308;333.93024;390.25906;402.38675;316.39676;445.68008;506.02945;445.6678;403.37494;444.20975;481.69296;452.10498;385.00198;406.73578;403.86685;371.91412;390.46497;496.85635;416.40466;404.96024;473.75082;382.81082
210.1101747;49.197815;89.44936;118.22226;141.6297;69.23744;119.12707;100.642685;109.65374;128.28635;22.456532;0;0;0;0;0;0;0;0;0;0;30.990509;7.685301;0;46.08211;8.271989;15.662651;200.78381;298.3855;306.62103;261.89337;233.04301;221.53929;379.68854;288.27597;292.06528;263.41312;287.55902;301.56363;205.56133;206.4122;174.13742;364.03387;293.1564;370.41504;335.3147;113.59608;240.08781;251.78691;185.50874;307.45013
212.1644353;1.8598565;14.367754;35.067463;31.07985;21.451914;6.362013;0;18.903435;19.756458;146.97888;87.01921;22.13566;67.172165;70.02398;84.85374;98.153854;81.46751;50.468918;60.078724;57.07286;38.61359;92.51135;34.69061;79.126495;83.334145;47.742672;368.06946;360.5233;454.5191;549.0666;452.04224;461.47055;512.973;333.22705;462.12466;464.6199;587.54114;464.791;431.8563;413.7382;315.6504;416.54752;507.4673;694.0977;653.08246;422.46344;465.0964;479.6956;311.52808;533.1881
214.1797225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;845.4095;0;35.42112;0;0;7.1208963;0;0;0;0;0;0;0;0;0;21.60865;7.669996;0;0;0;0;0;27.837086;0
214.1798304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.9651318;25.035515;88.684105;73.97841;478.7231;56.645653;684.01886;87.74048;62.11195;7.0309896;370.15677;54.18701;78.90556;22.228683;8.374056;13.272457;70.51348;1076.2085;1021.7632;110.96116;41.671104;65.186615;69.539604;42.51305
214.1799158;0;0;39.245598;11.713085;23.000195;7.2160487;15.685917;2.0890071;1.9354182;603.4191;20.751041;263.5218;317.54184;232.74857;423.63004;7.8116345;52.40272;339.35727;75.86475;77.63689;29.488035;35.93319;30.186235;87.86644;50.424667;43.222034;542.9122;585.107;683.3373;709.6425;714.5555;800.1817;774.15436;773.3641;676.1349;660.7332;711.23315;759.0524;652.5553;631.1889;716.11865;726.19324;890.6955;738.9556;797.90326;692.92944;704.872;862.8307;683.66595;854.69617
